r,g,b,ordem,hex,completitionYear
130,140,143,107,#828C8F,1942
218,211,202,110,#DAD3CA,1942
22,14,13,119,#160E0D,1942
194,166,126,95,#C2A67E,1943
155,132,75,96,#9B844B,1943
109,86,49,101,#6D5631,1943
56,53,52,104,#383534,1943
131,141,121,107,#838D79,1943
158,162,165,108,#9EA2A5,1943
202,198,178,109,#CAC6B2,1943
225,228,216,110,#E1E4D8,1943
79,88,110,117,#4F586E,1943
28,23,18,119,#1C1712,1943
67,137,160,44,#4389A0,1944
161,61,36,78,#A13D24,1944
198,150,35,93,#C69623,1944
54,48,40,104,#363028,1944
128,128,113,107,#808071,1944
184,176,142,108,#B8B08E,1944
222,220,214,110,#DEDCD6,1944
173,184,185,113,#ADB8B9,1944
77,85,77,118,#4D554D,1944
16,14,12,119,#100E0C,1944
232,233,226,1,#E8E9E2,1945
34,89,174,47,#2259AE,1945
212,181,35,93,#D4B523,1945
140,90,33,102,#8C5A21,1945
68,68,62,104,#44443E,1945
140,146,141,107,#8C928D,1945
178,173,162,108,#B2ADA2,1945
208,205,191,109,#D0CDBF,1945
107,108,108,116,#6B6C6C,1945
26,23,18,119,#1A1712,1945
65,100,154,41,#41649A,1946
204,179,84,88,#CCB354,1946
193,110,31,93,#C16E1F,1946
114,85,24,101,#725518,1946
77,74,64,104,#4D4A40,1946
148,154,150,108,#949A96,1946
193,192,172,109,#C1C0AC,1946
223,224,209,110,#DFE0D1,1946
122,120,99,116,#7A7863,1946
39,25,16,119,#271910,1946
76,86,160,39,#4C56A0,1947
105,102,85,75,#696655,1947
126,21,9,78,#7E1509,1947
197,163,80,94,#C5A350,1947
206,194,162,95,#CEC2A2,1947
148,142,124,99,#948E7C,1947
135,92,38,102,#875C26,1947
65,63,52,104,#413F34,1947
230,226,202,110,#E6E2CA,1947
27,16,10,119,#1B100A,1947
72,85,158,39,#48559E,1948
33,95,135,52,#215F87,1948
166,53,26,78,#A6351A,1948
195,154,77,94,#C39A4D,1948
193,179,149,95,#C1B395,1948
103,98,85,98,#676255,1948
66,61,35,104,#423D23,1948
140,144,136,107,#8C9088,1948
215,210,195,110,#D7D2C3,1948
25,18,12,119,#19120C,1948
243,244,225,1,#F3F4E1,1949
231,198,20,8,#E7C614,1949
56,29,108,40,#381D6C,1949
101,106,74,75,#656A4A,1949
191,96,20,93,#BF6014,1949
188,177,99,94,#BCB163,1949
79,50,28,104,#4F321C,1949
129,123,149,107,#817B95,1949
218,202,184,109,#DACAB8,1949
25,20,18,119,#191412,1949
230,238,231,1,#E6EEE7,1950
217,209,50,7,#D9D132,1950
24,86,116,57,#185674,1950
30,160,149,61,#1EA095,1950
127,21,14,78,#7F150E,1950
148,144,110,99,#94906E,1950
107,91,73,101,#6B5B49,1950
180,173,130,108,#B4AD82,1950
199,200,182,109,#C7C8B6,1950
34,33,27,119,#22211B,1950
210,218,23,7,#D2DA17,1951
151,7,6,20,#970706,1951
47,54,97,40,#2F3661,1951
81,84,51,72,#515433,1951
147,213,71,73,#93D547,1951
82,152,128,76,#529880,1951
